method;model;directory;conf;iou;imsize;max_det;file;pix_x;pix_y;nb_det;area_tot;w_mean;h_mean
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lasiocampidae_drawer_0143.JPG;8688;5792;57;15508054;689.6666666666666;386.4035087719298
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lasiocampidae_drawer_0146.JPG;8688;5792;130;18373095;490.1;283.96923076923076
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lasiocampidae_drawer_0147.JPG;8688;5792;2;327468;524.5;312.0
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lasiocampidae_drawer_0149.JPG;8688;5792;49;9051301;561.6326530612245;313.6734693877551
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lasiocampidae_drawer_0150.JPG;8688;5792;88;14070496;510.95454545454544;308.54545454545456
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Libytheidae_drawer_0001.JPG;8688;5792;98;19704204;559.6326530612245;358.3979591836735
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Libytheidae_drawer_0002.JPG;8688;5792;93;17485232;540.5591397849462;346.96774193548384
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Libytheidae_drawer_0003.JPG;8688;5792;92;19456046;570.2826086956521;369.4130434782609
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Libytheidae_drawer_0004.JPG;8688;5792;101;20309795;564.8118811881188;355.13861386138615
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Limacodidae_drawer_0001.JPG;8688;5792;67;6725814;412.2835820895522;238.01492537313433
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Limacodidae_drawer_0002.JPG;8688;5792;252;21530794;382.7063492063492;222.29365079365078
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Limacodidae_drawer_0003.JPG;8688;5792;87;11061321;444.2413793103448;282.2298850574713
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Limacodidae_drawer_0004.JPG;8688;5792;202;22437440;426.86138613861385;257.91089108910893
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Limacodidae_drawer_0005.JPG;8688;5792;154;22108654;479.2077922077922;298.34415584415586
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Limacodidae_drawer_0006.JPG;8688;5792;55;5988639;412.8363636363636;262.4727272727273
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Limacodidae_drawer_0007.JPG;8688;5792;125;14355795;429.048;261.064
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Limacodidae_drawer_0008.JPG;8688;5792;194;16069608;374.19072164948454;220.81443298969072
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Limacodidae_drawer_0009.JPG;8688;5792;62;4894250;352.83870967741933;220.6290322580645
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Limacodidae_drawer_0010.JPG;8688;5792;75;6612762;408.85333333333335;212.82666666666665
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Limacodidae_drawer_0011.JPG;8688;5792;103;7455245;343.3009708737864;208.10679611650485
